day,region_id,susceptible,infected,recovered,dead
15,15,659999,0,1,0
15,16,579999,0,1,0
15,17,319999,0,1,0
15,18,84999,0,1,0
15,19,86999,0,1,0
16,1,8469999,0,1,0
16,2,7799999,0,1,0
16,3,6759999,0,1,0
16,4,5099999,0,1,0
16,5,2699999,0,1,0
16,6,2399999,0,1,0
16,7,2199999,0,1,0
16,8,2199999,0,1,0
16,9,1999999,0,1,0
16,10,1499999,0,1,0
16,11,1299999,0,1,0
16,12,999999,0,1,0
16,13,1199999,0,1,0
16,14,1049999,0,1,0
16,15,659999,0,1,0
16,16,579999,0,1,0
16,17,319999,0,1,0
16,18,84999,0,1,0
16,19,86999,0,1,0
17,1,8469999,0,1,0
17,2,7799999,0,1,0
17,3,6759999,0,1,0
17,4,5099999,0,1,0
17,5,2699999,0,1,0
17,6,2399999,0,1,0
17,7,2199999,0,1,0
17,8,2199999,0,1,0
17,9,1999999,0,1,0
17,10,1499999,0,1,0
17,11,1299999,0,1,0
17,12,999999,0,1,0
17,13,1199999,0,1,0
17,14,1049999,0,1,0
17,15,659999,0,1,0
17,16,579999,0,1,0
17,17,319999,0,1,0
17,18,84999,0,1,0
17,19,86999,0,1,0
18,1,8469999,0,1,0
18,2,7799999,0,1,0
18,3,6759999,0,1,0
18,4,5099999,0,1,0
18,5,2699999,0,1,0
18,6,2399999,0,1,0
18,7,2199999,0,1,0
18,8,2199999,0,1,0
18,9,1999999,0,1,0
18,10,1499999,0,1,0
18,11,1299999,0,1,0
18,12,999999,0,1,0
18,13,1199999,0,1,0
18,14,1049999,0,1,0
18,15,659999,0,1,0
18,16,579999,0,1,0
18,17,319999,0,1,0
18,18,84999,0,1,0
18,19,86999,0,1,0
19,1,8469999,0,1,0
19,2,7799999,0,1,0
19,3,6759999,0,1,0
19,4,5099999,0,1,0
19,5,2699999,0,1,0
19,6,2399999,0,1,0
19,7,2199999,0,1,0
19,8,2199999,0,1,0
19,9,1999999,0,1,0
19,10,1499999,0,1,0
19,11,1299999,0,1,0
19,12,999999,0,1,0
19,13,1199999,0,1,0
19,14,1049999,0,1,0
19,15,659999,0,1,0
19,16,579999,0,1,0
19,17,319999,0,1,0
19,18,84999,0,1,0
19,19,86999,0,1,0
20,1,8469999,0,1,0
20,2,7799999,0,1,0
20,3,6759999,0,1,0
20,4,5099999,0,1,0
20,5,2699999,0,1,0
20,6,2399999,0,1,0
20,7,2199999,0,1,0
20,8,2199999,0,1,0
20,9,1999999,0,1,0
20,10,1499999,0,1,0
20,11,1299999,0,1,0
20,12,999999,0,1,0
20,13,1199999,0,1,0
20,14,1049999,0,1,0
20,15,659999,0,1,0
20,16,579999,0,1,0
20,17,319999,0,1,0
20,18,84999,0,1,0
20,19,86999,0,1,0
21,1,8469999,0,1,0
21,2,7799999,0,1,0
21,3,6759999,0,1,0
21,4,5099999,0,1,0
21,5,2699999,0,1,0
21,6,2399999,0,1,0
21,7,2199999,0,1,0
21,8,2199999,0,1,0
21,9,1999999,0,1,0
21,10,1499999,0,1,0
21,11,1299999,0,1,0
21,12,999999,0,1,0
21,13,1199999,0,1,0
21,14,1049999,0,1,0
21,15,659999,0,1,0
21,16,579999,0,1,0
21,17,319999,0,1,0
21,18,84999,0,1,0
21,19,86999,0,1,0
22,1,8469999,0,1,0
22,2,7799999,0,1,0
22,3,6759999,0,1,0
22,4,5099999,0,1,0
22,5,2699999,0,1,0
22,6,2399999,0,1,0
22,7,2199999,0,1,0
22,8,2199999,0,1,0
22,9,1999999,0,1,0
22,10,1499999,0,1,0
22,11,1299999,0,1,0
22,12,999999,0,1,0
22,13,1199999,0,1,0
22,14,1049999,0,1,0
22,15,659999,0,1,0
22,16,579999,0,1,0
22,17,319999,0,1,0
22,18,84999,0,1,0
22,19,86999,0,1,0
23,1,8469999,0,1,0
